Category,Pattern,Evidence,Observation,Testable implication
Positive signal,Local topological obstruction,"P7, P8","When the proof can compute a rigid local invariant and oppose it to a global requirement, the argument closes or nearly closes.",Larger corpora should show higher completion rates when a rigid local invariant is available.
Positive signal,Rigidity chains,P9,Long chains of overdetermined rigidity lemmas produce the most robust completions in the pilot.,Proofs dominated by rigidity lemmas should have the highest generalization-robustness rates.
Positive signal,Correct rejection as discovery,"P2, P4",Explicit route elimination is not wasted effort: it permanently shrinks search and improves downstream focus.,Route-elimination counts should correlate positively with eventual completion or with cleaner remaining gaps.
Positive signal,Domain reduction,P2-A2,Turning analytic conditions into discrete or finite targets opens productive search moves.,Steps that reduce infinite or continuous conditions to finite combinatorial ones should predict accepted downstream steps.
Failure mode,Base case then stall,"P2, P3, P4","The model can often close a small case, but the mechanism fails to transport to the full problem.",Early local wins with low generalization robustness should predict non-completion.
Failure mode,Local-only resolution,"P3-M1, P4-n=2",Some accepted steps solve a local obligation yet contribute no mechanism that survives to the real target.,Accepted steps with goal completion = 1 and generalization robustness = 0 should cluster in structurally hard problems.
Failure mode,Generalization-step errors,"P2-A5, P5-T5",The two outright invalid inferences occur while extending a locally plausible statement beyond its admissible scope.,"In larger corpora, invalid steps should cluster at generalization moves rather than at base cases."
Failure mode,Unresolved premises as hidden dependencies,"P1-T5, P7-T8, P10-T11",A derivation can be valid conditional on a premise that was never established or cited.,Premises described as standard without evidence should show elevated partial-step rates.
Structural signal,Generalization robustness separates complete from partial proofs,All problems,Assumption compliance and inference validity are near ceiling across the pilot. Most of the meaningful variation sits in generalization robustness.,Mid-proof generalization-robustness rate should predict completion better than inference-validity rate.
Structural signal,Self-rejection is better at route screening than derivation auditing,"P2, P4, P5","The model correctly rejects many dead routes, but misses some invalid inferences that only the audit catches.",The self-rejected to audit-rejected ratio should stay above 1 if route screening is easier than derivation auditing.
Structural signal,Elimination events are compute-efficient,"P4-R1, P6-T3, P3-M1-NT",A single counterexample or obstruction can remove an entire proof family.,Elimination steps should deliver the highest uncertainty reduction per unit compute.
Structural signal,Positive and negative discovery remain balanced,All problems,The pilot produces both constructions and boundary information. Negative results are not leftovers; they are part of the usable output.,Larger corpora should preserve a roughly balanced positive-versus-negative discovery mix.
Structural signal,Late steps become forced in complete proofs,"P8, P9 versus P3","Complete proofs narrow to one viable continuation, while incomplete proofs end with multiple live routes.",Late-stage branch width should discriminate complete from partial runs.
Structural signal,Single-gap conditionals are closer to repair than strategy failures,"P1, P7, P10 versus P2-P4",A nearly complete chain with one explicit missing premise is structurally closer to closure than a run with several unresolved mechanisms.,One-gap conditionals should convert to complete proofs at higher repair rates than strategy-failure partials.
